Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
127.180	-449.854	118.895
127.220	-436.083	118.931
127.260	-404.460	118.975
127.300	-358.394	119.010
127.340	-291.669	119.052
127.380	-208.443	119.092
127.420	-119.385	119.129
127.460	-31.973	119.170
127.500	51.179	119.210
127.540	129.464	119.251
127.580	202.095	119.288
127.620	273.381	119.331
127.660	339.734	119.372
127.700	395.255	119.410
127.740	429.623	119.449
127.780	436.718	119.488
127.820	411.949	119.526
127.860	367.798	119.569
127.900	317.805	119.608
127.940	251.969	119.649
127.980	178.397	119.688
128.020	108.643	119.729
128.060	32.776	119.767
128.100	-50.849	119.806
128.140	-126.313	119.850
128.180	-182.175	119.887
128.220	-213.979	119.928
128.260	-235.185	119.970
128.300	-244.546	120.005
128.340	-242.516	120.046
128.380	-228.934	120.088
128.420	-211.872	120.127
128.460	-195.242	120.164
128.500	-157.121	120.206
128.540	-83.628	120.246
128.580	13.019	120.286
128.620	90.932	120.323
128.660	157.358	120.362
128.700	219.054	120.404
128.740	281.627	120.447
128.780	345.821	120.485
128.820	406.911	120.525
128.860	451.736	120.565
128.900	484.429	120.605
128.940	501.811	120.644
128.980	504.781	120.682
129.020	475.246	120.728
129.060	413.641	120.765
129.100	342.724	120.804
129.140	260.750	120.844
129.180	168.688	120.884
129.220	72.237	120.923
129.260	-20.284	120.962
129.300	-100.695	121.003
129.340	-167.585	121.040
129.380	-218.619	121.083
129.420	-257.980	121.123
129.460	-284.132	121.163
129.500	-296.513	121.207
129.540	-296.802	121.244
129.580	-287.087	121.279
129.620	-257.470	121.324
129.660	-203.545	121.365
129.700	-132.262	121.402
129.740	-53.408	121.447
129.780	29.594	121.484
129.820	110.405	121.524
129.860	185.713	121.563
129.900	257.293	121.605
129.940	326.626	121.650
129.980	385.721	121.686
130.020	430.323	121.725
130.060	452.304	121.764
130.100	452.355	121.808
130.140	426.718	121.843
130.180	382.590	121.883
130.220	335.262	121.924
130.260	272.386	121.960
130.300	195.269	122.001
130.340	108.717	122.046
130.380	14.138	122.084
130.420	-83.479	122.122
130.460	-181.704	122.161
130.500	-279.038	122.203
130.540	-364.062	122.244
130.580	-436.315	122.288
130.620	-489.758	122.325
130.660	-521.132	122.367
130.700	-540.628	122.403
130.740	-532.600	122.442
130.780	-501.287	122.482
130.820	-464.020	122.522
130.860	-424.152	122.561
130.900	-389.235	122.608
130.940	-365.009	122.645
130.980	-323.344	122.683
131.020	-233.149	122.724
131.060	-120.732	122.767
131.100	-8.212	122.805
131.140	89.038	122.842
131.180	181.550	122.886
131.220	264.258	122.925
131.260	345.693	122.963
131.300	426.125	123.002
131.340	483.509	123.046
131.380	516.598	123.087
131.420	531.597	123.122
131.460	529.150	123.163
131.500	509.716	123.207
131.540	470.703	123.245
131.580	415.388	123.286
131.620	346.082	123.327
131.660	266.552	123.363
131.700	184.468	123.405
131.740	104.281	123.445
131.780	21.560	123.488
131.820	-52.051	123.527
131.860	-109.875	123.566
131.900	-155.742	123.604
131.940	-188.246	123.648
131.980	-207.036	123.687
132.020	-210.136	123.728
