Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
139.860	-1499.198	131.603
139.900	-1397.530	131.643
139.940	-1243.158	131.680
139.980	-1047.161	131.726
140.020	-825.163	131.768
140.060	-558.553	131.805
140.100	-267.592	131.846
140.140	0.074	131.888
140.180	223.896	131.926
140.220	413.028	131.967
140.260	573.163	132.006
140.300	706.808	132.049
140.340	775.716	132.087
140.380	769.361	132.127
140.420	718.734	132.166
140.460	634.584	132.208
140.500	508.000	132.247
140.540	349.983	132.288
140.580	174.714	132.328
140.620	1.841	132.367
140.660	-145.616	132.410
140.700	-279.071	132.449
140.740	-394.457	132.492
140.780	-490.444	132.534
140.820	-559.098	132.570
140.860	-595.565	132.612
140.900	-591.211	132.653
140.940	-544.003	132.691
140.980	-462.557	132.731
141.020	-352.517	132.769
141.060	-224.442	132.811
141.100	-84.352	132.852
141.140	54.604	132.896
141.180	190.816	132.934
141.220	330.339	132.975
141.260	457.682	133.015
141.300	585.464	133.056
141.340	715.617	133.092
141.380	808.726	133.136
141.420	869.234	133.177
141.460	904.389	133.217
141.500	913.085	133.256
141.540	877.748	133.300
141.580	803.395	133.339
141.620	715.234	133.378
141.660	615.175	133.412
141.700	496.307	133.456
141.740	343.649	133.498
141.780	159.242	133.538
141.820	-35.973	133.579
141.860	-193.085	133.619
141.900	-354.690	133.663
141.940	-509.118	133.699
141.980	-621.719	133.741
142.020	-673.275	133.778
142.060	-664.012	133.816
142.100	-596.721	133.857
142.140	-484.404	133.901
142.180	-337.101	133.943
142.220	-183.201	133.983
142.260	-36.737	134.020
142.300	127.615	134.061
142.340	311.476	134.102
142.380	518.638	134.146
142.420	732.348	134.180
142.460	930.272	134.225
142.500	1099.556	134.262
142.540	1229.300	134.303
142.580	1325.529	134.345
142.620	1384.118	134.382
142.660	1386.011	134.425
142.700	1343.656	134.462
142.740	1262.974	134.504
142.780	1116.956	134.547
142.820	932.694	134.584
142.860	735.524	134.626
142.900	478.922	134.667
142.940	193.905	134.709
142.980	-89.725	134.748
143.020	-367.365	134.784
143.060	-643.813	134.827
143.100	-903.907	134.868
